Player_name,Goals,Assists,Passes,Shots,Minutes_Played
Harry Kane,45,12,620,109,4094
Artem Dovbyk ,25,10,392,77,2860
Erling Haaland,42,6,366,98,4063
Sehrou Guirassy,30,4,741,71,2380
Lois Openda,28,7,464,94,3636
Deniz Undav,19,10,719,83,2394
Maximilian Beier,16,1,488,61,2534
Alexander Sorloth,27,6,461,59,3104
Jude Bellingham,24,13,1498,51,3711
Robert Lewandowski,26,9,543,67,3800
Ante Budimir,19,2,422,59,2831
Cole Palmer,28,15,1252,74,3842
Alexander Isak,26,2,448,59,3314
Dominic Solanke,21,4,518,76,3551